"variety" "temp" "oil"
"A" 46 51.906963747533
"A" 46 51.9659820965136
"A" 46 52.2556314870098
"A" 48 50.245258465341
"A" 48 49.8179989255816
"A" 48 50.2324573815864
"A" 50 50.339797489668
"A" 50 50.3381046208028
"A" 50 50.4430970434012
"A" 52 51.3327972829979
"A" 52 50.8379912914226
"A" 52 50.9543083676668
"A" 54 50.291620547653
"A" 54 49.8599803124104
"A" 54 50.3793025800115
"A" 56 48.6773357635779
"A" 56 49.0073586637365
"A" 56 49.1153413346259
"A" 58 48.9535794336844
"A" 58 48.8960698655507
"A" 58 48.969892339535
"A" 60 48.3569429142509
"A" 60 48.5403187930863
"A" 60 47.9479467815457
"A" 62 47.7505707695651
"A" 62 47.9674772259258
"A" 62 48.0249837023469
"B" 46 53.8855407114209
"B" 46 53.9378110720676
"B" 46 53.9420693151409
"B" 48 54.7716924413558
"B" 48 54.8287279519272
"B" 48 54.7496584460707
"B" 50 53.2040406478417
"B" 50 53.2015309188097
"B" 50 53.1971050590387
"B" 52 53.5966103121078
"B" 52 53.4990326550574
"B" 52 53.5296694213087
"B" 54 53.575918916466
"B" 54 53.8123882036982
"B" 54 52.371580273426
"B" 56 52.8920645085111
"B" 56 52.6626832465658
"B" 56 52.7502124732503
"B" 58 52.4492530610709
"B" 58 52.7216983738901
"B" 58 52.1032153824771
"B" 60 52.2797088551373
"B" 60 52.2170310998011
"B" 60 52.4681924158299
"B" 62 52.2731632950906
"B" 62 52.2318805472927
"B" 62 52.1558242446534
